639	1020	1680	677	607	695																																														
266	242	360	512	266	281																																														
189	112	52	683	175	249																																														
199	217	4	387	273	189																																														
780	664	784	996	588	1080																																														
227.6	460	456	644	136	346																																														
42.4	0	31.6	11.2	8	0																																														
3.2	14.4	0	0	0	4.4																																														
397	326	248	743	493	1160																																														
245	110	178	97.8	259	0																																														
109	116	147	294	141	290																																														
132	136	82.7	122	117	186																																														
