4240	4310	4210	4280	4270	4200																																																				
1880	1860	1940	1980	1850	1940																																																				
867	859	896	888	888	861																																																				
768	780	796	771	775	754																																																				
3980	4110	4150	3940	4110	3990																																																				
1928	2070	1930	1940	1870	1830																																																				
1080	1050	1120	1040	954	878																																																				
836	865	904	950	934	921																																																				
3510	3460	3410	3500	3470	3300																																																				
1450	1380	1400	1680	1780	1750																																																				
879	883	875	890	875	974																																																				
725	646	499	757	704	521																																																				
